simulation,zscore_entry_threshold,zscore_exit_threshold,base_position_pct,lookback,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate
1,2.301850588527909,0.5129358258477028,0.03809199645273554,20,0.0,0.0,0.0,0,0.0
2,1.902191889395469,0.38160023101612506,0.02843641156459994,15,0.0,0.0,0.0,0,0.0
3,1.5744888484763537,0.41565775157672075,0.03440044930812971,25,0.0,0.0,0.0,0,0.0
4,1.694762375535655,0.3777684380371541,0.04453076439358557,30,0.0,0.0,0.0,0,0.0
5,1.952679258398502,0.48366330341680985,0.03195923848014049,20,0.0,0.0,0.0,0,0.0
6,1.7973710712987399,0.6609894788731121,0.03400474459027501,20,0.0,0.0,0.0,0,0.0
7,1.6155845600273746,0.6280507325478263,0.04260926692823191,20,0.0,0.0,0.0,0,0.0
8,1.9475230507338943,0.6622887783367295,0.028154632971442314,20,0.0,0.0,0.0,0,0.0
9,2.340384315090658,0.5988058599138792,0.04657122206876153,15,0.0,0.0,0.0,0,0.0
10,2.32300390719299,0.6789730099941697,0.04179031070419778,20,0.0,0.0,0.0,0,0.0
11,2.4621643454794495,0.6164814513773451,0.042016145306386796,30,0.0,0.0,0.0,0,0.0
12,1.5749926629079498,0.3553289619182856,0.022103782621482153,15,0.0,0.0,0.0,0,0.0
13,2.402894183012153,0.4501482217266568,0.047123360268454886,30,0.0,0.0,0.0,0,0.0
14,2.1940013827688354,0.6887672135504523,0.0477679993254844,30,0.0,0.0,0.0,0,0.0
15,1.693385737787969,0.4364054704268602,0.010493186030259886,25,0.0,0.0,0.0,0,0.0
16,1.5411605229631893,0.5814939644811502,0.047183130613394464,15,0.0,0.0,0.0,0,0.0
17,1.554122203833475,0.3296841100564562,0.0392066082827926,25,0.0,0.0,0.0,0,0.0
18,2.0991661172723552,0.36511691403456764,0.034401689344706624,30,0.0,0.0,0.0,0,0.0
19,1.762221705429805,0.5884263980010994,0.013962627780954438,20,0.0,0.0,0.0,0,0.0
20,1.52845119764747,0.3910801905800949,0.026307185210407247,15,0.0,0.0,0.0,0,0.0
