symbol1,symbol2,correlation,cointegration_pvalue,cointegration_score,hedge_ratio,spread_mean,spread_std,spread_skew,spread_kurtosis,current_zscore,data_points,composite_score
TLT,TMF,0.8804317948901447,0.0007417304296554883,0.2961690577468777,0.4970003708051919,67.64275410153819,1.7668475383879776,0.6754835407145834,0.4816308410688923,,44094,3.4004126870577553
IWM,TNA,0.9569522124570619,4.998898560559049e-08,0.14799987208161342,2.15653450506558,122.50870168145978,5.210255560470521,0.7600697268096624,3.188443263744954,,46001,1.6543987186759916
BABA,YINN,0.7168629258858872,0.000184254656977489,0.14938195795382303,1.3282727339963154,49.36805466828993,4.929016085451027,0.42383005297241666,0.8327583375997749,,44383,1.2935465807037252
BITX,IBIT,0.8797516272141715,0.02408246031361655,0.11345357020163456,1.269423047385727,-9.838122304131257,6.3083362439849004,0.545590993032759,-0.195434109262278,,45006,1.2587186356802011
UVIX,UVXY,0.3547271109600014,0.004579835199146622,0.199937576159319,-0.2062648979264426,11.214225115137266,2.2973654048549625,0.8367901076984632,2.219164708170509,,41320,1.1382307405011267
QQQ,TQQQ,0.9689448764850059,1.6590958422856107e-09,0.08948900153886753,3.0416466320683977,261.9571711156745,9.67226995562473,0.23003449565655815,0.7463518271016163,,47511,0.9777013461915197
QQQ,SPY,0.8860905901621791,5.254458137945015e-05,0.09058689458252607,0.8316580843256365,13.70682128106386,9.537426370444875,0.5110149627204159,1.254061203779382,,46819,0.9042584496569165
MARA,TQQQ,0.36018115513920496,0.03132307905179386,0.03179223396088161,0.05168307791007386,16.44441946058631,3.516400656547093,0.8467861529460968,0.42508357134120667,,47375,0.831679122407052
MARA,QQQ,0.3607553926472111,0.03715338437047722,0.013999409589100752,0.007225801050563255,16.52703496584109,3.5478982118311286,0.778807918625743,0.22963361562345375,,47375,0.8222568991649286
MARA,SPY,0.3466007823236526,0.03917463508477419,0.005382970741939119,-0.002492534067378764,21.238909463005815,3.573704234810378,0.7321060240578581,0.039664887506166036,,46819,0.7830288179375853
MARA,SOXL,0.3292977803958197,0.03212829556738696,0.023165111512542778,0.03975397139441374,18.303946599219568,3.5346762250095383,0.8680417411557512,0.24097872053471647,,47375,0.756673692784267
TSLA,TSLL,0.9581140061894093,7.7512650582082e-11,0.05971498779692223,10.364119811136963,103.34394376393813,15.320455716649604,0.08116924985407453,1.3100150035246552,,47706,0.6324322480763529
SPY,TQQQ,0.8914162249127232,0.03013967818250036,0.044057614959964735,3.1651635533696747,330.99282726372815,18.143665831046594,0.4070020736710622,-0.45507719381011924,,46819,0.48566459723537525
PLTR,TSLA,0.3110555895865948,0.020873663907463,0.11194483283418592,0.2237993826295497,-17.861154053947413,6.93654045650186,-0.6388999967643952,0.9082492096800054,,47498,0.4132362545359065
PLTR,TSLL,0.30917126292788,0.04234313353130258,0.08892025556368635,2.2572088112438125,5.989760464793279,8.306466731137276,-0.17009925439319537,0.35451540783629687,,47498,0.3425919284483892
